,IMF1
467,1.466151735
468,0.383338087
469,-3.016408844
470,0.712468331
471,0.043725446
472,-1.088518016
473,-2.569323572
474,2.852913593
475,0.242366368
476,-1.524852995
477,4.185827765
478,0.791307052
479,-2.281509454
480,0.112721248
481,-2.667332564
482,0.564941352
483,1.876993103
484,-1.293743085
485,-0.058526441
486,-0.935703479
487,-1.510613298
488,1.725582017
489,2.915391972
490,-0.31399992
491,1.956300909
492,-3.102635832
493,5.467559035
494,-5.94697351
495,-2.573173829
496,-0.227304079
497,2.801659489
498,-1.578625473
499,4.488254873
500,-4.241344868
501,3.479499136
502,0.785943044
503,-2.44301593
504,-6.735032783
505,5.337570739
506,-0.838702081
507,-0.833270712
508,1.898663518
509,1.949059934
510,-1.614152033
511,-4.286132615
512,2.223310701
513,3.427577338
514,-3.353139213
515,-0.765382025
516,-1.208086884
517,-3.162412302
518,12.71922376
519,-8.812008478
520,-9.880258114
521,12.47735376
522,-5.695930317
523,1.669083404
524,3.958514324
525,-6.705165391
526,7.395765793
527,-2.110466401
528,-7.704710579
529,6.293920254
530,3.970292455
531,-3.041544622
532,-1.17804648
533,1.588932515
534,-0.919414459
535,-2.204418913
536,0.831187138
537,6.211657362
538,-0.502004192
539,-2.774619802
540,-0.977522096
541,0.66921597
542,1.138546809
543,3.926128474
544,-5.097687052
545,3.332503554
546,1.137409762
547,-4.325042695
548,1.866053638
549,1.87331166
550,0.523970246
551,-4.371268236
552,3.803856022
553,-1.31884286
554,0.090131068
555,-0.696054454
556,-1.013810972
557,3.561830814
558,-2.360202548
559,-0.601097743
560,0.117019711
561,1.89418504
562,-2.245103445
563,0.67177285
564,-0.549825532
565,-1.686662696
566,-1.780231042
567,1.766127353
568,-0.517945666
569,-0.087305298
570,1.712292861
571,-4.086271289
572,0.93354817
573,0.904936084
574,-4.322031383
575,2.969231921
576,5.955658089
577,0.670960246
578,-4.147393105
579,-1.447129263
580,1.511509203
581,-0.618128285
582,-1.36199468
583,-0.022901932
584,5.960420888
585,-2.190794524
586,-4.049562196
587,4.885277836
588,-3.555018731
589,1.817308044
590,0.176970666
591,-1.097089276
592,-1.00153992
593,-0.905736634
594,3.184003521
595,2.823160212
596,0.310160025
597,-4.27450681
598,5.031542076
599,-6.666753007
600,5.076393114
601,1.492753808
602,0.936228742
603,-5.370257751
604,-1.562233451
605,-0.992145937
606,4.844390174
607,0.458126536
608,-3.889276073
609,5.114474818
610,-0.587243396
611,-3.146024335
612,-0.759404396
613,2.174740687
614,1.84848816
615,-10.49536718
616,7.390802097
617,2.015346407
618,0.365996486
