,IMF1
363,7.860580785
364,-7.958144304
365,14.84606223
366,-14.99517442
367,-0.022436227
368,6.481633068
369,1.603870888
370,-3.827428956
371,-0.341723374
372,0.387545877
373,1.10882369
374,5.968401726
375,-10.84687512
376,6.653995196
377,-3.418834464
378,6.131039947
379,-3.422950468
380,-5.782759618
381,-6.293393982
382,11.74085361
383,-2.042355168
384,-10.86355812
385,5.414333243
386,1.147130395
387,5.887319367
388,-6.443728792
389,3.022004131
390,0.442166021
391,-2.09200857
392,-0.428892827
393,-8.139440341
394,16.55297082
395,-6.163104026
396,-2.129787703
397,-6.828507826
398,6.623164023
399,8.987258028
400,-7.701395235
401,-3.36620311
402,3.461954469
403,-0.963282825
404,2.136797862
405,-1.654398832
406,-1.591935907
407,1.895615478
408,0.301350137
409,-4.554623467
410,-1.0526818
411,5.334469481
412,-0.094402115
413,-8.205151466
414,12.98487229
415,-3.469729148
416,-4.599936699
417,2.466736179
418,1.11721926
419,1.284798303
420,-5.94166309
421,5.924011875
422,-2.037279855
423,0.807131996
424,5.913073316
425,-9.631778886
426,1.324779818
427,7.70767319
428,-9.431756042
429,1.940022138
430,0.007699372
431,4.251752553
432,-1.838474084
433,-5.270611593
434,-6.846367294
435,21.20632781
436,-5.644626159
437,-5.623633677
438,-1.331480941
439,10.64016664
440,-3.93968555
441,-7.733651804
442,10.76589515
443,-5.99899888
444,0.366585839
445,-7.024549404
446,13.28770094
447,-5.655969541
448,-9.730293241
449,6.375299414
450,1.67650461
451,-3.423384559
452,3.185903992
453,0.419138866
454,-0.833858791
455,-1.995159483
456,2.702112232
457,-5.85642462
458,0.818753544
459,8.927437875
460,-5.133267597
461,-2.27867274
462,-1.932224529
463,9.730635189
464,-11.35468883
465,0.070501222
466,5.683890417
467,-2.888892643
468,-4.514514674
469,5.229759028
470,8.020817548
471,-13.25497734
472,9.679066194
473,-3.108553889
474,-3.014751116
475,4.332979314
476,-3.993140914
477,2.306437896
478,5.669976576
479,-6.63644245
480,-2.540453961
481,7.178904123
482,-6.391420126
483,-0.371282423
484,1.124766572
485,4.232900082
486,-0.778741268
487,-3.171871438
488,1.325540671
489,3.023062097
490,4.115589999
491,-7.980675039
492,-6.117877586
493,12.37982883
494,-11.72539267
495,6.729936382
496,4.001876617
497,3.727437068
498,-3.761764705
499,-22.60815793
500,29.75333118
501,-3.659910351
502,0.094607012
503,-5.669828907
504,4.338747259
505,1.786533239
506,-18.1296087
507,18.66505204
508,0.729249294
509,-12.62106657
510,1.597389203
511,2.634526605
512,2.123468147
513,-4.13472514
514,-4.08895703
515,16.35319095
516,-9.485188411
517,-20.50251003
518,31.85720116
519,-6.315014589
520,-8.193597199
521,-2.605204895
522,6.975817031
523,0.255678364
524,1.450121687
525,0.007049869
526,-0.118256417
527,-8.217006055
528,9.882129726
529,-0.69337316
530,5.829941797
531,-14.44257003
532,15.15774105
533,-8.519338713
534,15.23800585
535,-15.1271971
536,3.222930769
537,0.226105643
538,8.33122813
539,-12.40453265
540,15.65090372
541,-15.92482406
542,0.134887991
543,13.2483129
544,-7.948671803
545,-9.722312018
546,1.011113233
547,30.84813224
548,-23.20415139
549,-11.57765009
550,22.1562472
551,-9.218289368
552,3.329545734
553,3.676698336
554,-5.421385892
555,-2.77106316
556,2.654939983
557,5.124995739
558,1.770062905
559,-9.18272648
560,-7.760177647
561,13.66173256
562,-1.640569449
563,6.928134312
564,-12.8109092
565,19.48622798
566,-13.20012026
