,IMF1
222,2.189445279
223,1.090884076
224,-2.236373074
225,5.178254534
226,-2.669607318
227,-5.459713036
228,-0.983046033
229,9.587360665
230,-3.119779079
231,-5.241874239
232,2.994600389
233,2.50312594
234,2.043077971
235,-4.707823956
236,3.187033314
237,2.814890024
238,-5.095852102
239,-0.935295926
240,4.569408544
241,2.686728253
242,-3.502625535
243,-3.748266393
244,5.103535389
245,-6.60375114
246,6.923551789
247,-5.577453206
248,1.504207254
249,-0.608303802
250,3.053944931
251,3.198131809
252,-3.318419505
253,-0.693318462
254,1.003891481
255,4.822815214
256,-3.057930064
257,3.892691986
258,-4.370076798
259,-5.602109168
260,5.510624415
261,1.70068496
262,-3.813618668
263,-2.497360011
264,5.366110493
265,-0.889629299
266,-4.651169466
267,-0.536474586
268,9.803935759
269,-7.615608828
270,0.641617526
271,-1.128531171
272,2.213517573
273,0.656234231
274,3.138378921
275,-1.723067772
276,-2.418919563
277,0.649346417
278,-3.390152096
279,8.537501198
280,-2.19349009
281,-0.984711128
282,-0.281450142
283,1.129988508
284,-1.860311547
285,2.972205512
286,-3.216175356
287,0.303282581
288,5.041713041
289,-6.036207492
290,5.093533076
291,-5.628898962
292,-1.120836064
293,8.699962615
294,-5.625259753
295,-2.731265843
296,5.235454158
297,2.44012485
298,2.254111778
299,-5.895098504
300,0.828906591
301,-1.358981558
302,2.371372614
303,-3.470743675
304,1.259597877
305,5.556877229
306,-6.810686626
307,-1.294722253
308,6.401413612
309,3.613653458
310,-5.094437938
311,-0.343030998
312,2.3058782
313,-3.787780485
314,-1.88868358
315,5.501933832
316,2.500193586
317,3.446927168
318,-10.44355008
319,-4.661128625
320,8.722529119
321,1.312960355
322,-1.744506477
323,0.59348056
324,-1.516323737
325,-0.373771922
326,1.469476276
327,-0.036790107
328,-2.562273804
329,3.566177089
330,-0.692257068
331,-0.181785653
332,1.087177994
333,-0.396174834
334,-2.742753076
335,4.439099507
336,-1.149798876
337,1.357490667
338,-4.027675829
339,1.446299549
340,-0.474793036
341,0.536501833
342,-7.280281743
343,8.056398058
344,-1.756709344
345,-1.868996961
346,0.008517281
347,-6.550615767
348,6.87829162
349,-2.073879976
350,-2.882858308
351,1.90373035
352,-5.070611154
353,4.565924981
354,1.630185968
355,0.579276227
356,-3.224797299
357,0.971054246
358,0.769654859
359,3.665576705
360,-0.924916839
361,-3.070495443
362,0.190515681
363,3.105192466
364,2.434359983
365,-0.860002994
366,-2.217303423
367,4.8526448
368,-1.914230802
369,-4.238421582
370,-0.1400723
371,4.620766581
372,5.553832514
373,-5.386425307
374,0.992352497
375,-3.70805244
376,0.372334227
377,0.19409873
378,-1.841733105
379,-1.548607191
380,1.34603255
381,-0.205564706
382,-4.518173251
383,10.13604734
384,-6.042305731
385,-3.245245942
386,-1.646132239
387,4.676684696
388,3.917863987
389,-5.307206878
390,-1.298841069
391,-5.363140278
392,0.700096465
393,2.090761148
394,-0.378656305
395,-2.486770976
396,1.561951465
397,2.429980685
398,-11.05886973
399,5.754799082
400,2.157634417
401,-0.459988103
402,-0.191623012
403,-2.520132349
404,2.540293659
405,1.71024135
406,-0.40394312
407,-2.047208259
408,6.123504053
409,-0.49246729
410,-1.982479137
411,-4.528523624
412,3.262493544
413,2.659180185
414,0.519025009
415,-5.184229258
416,2.647571706
417,2.904525954
418,-1.849156101
419,2.776238574
420,-8.178438212
421,-0.534146245
422,7.152072724
423,0.997229144
424,-0.751734638
425,-3.218151778
426,0.563126202
427,-1.781483776
428,0.661162666
429,-0.993388089
430,-2.131107472
431,-0.093423827
432,0.994061909
433,-0.40790255
434,-0.888379936
435,2.347472142
436,-2.625023389
437,-0.516020057
438,-0.482819224
439,0.446756821
440,2.1991161
441,-0.818038162
442,1.364051878
443,-1.554407457
444,-2.232621352
445,4.513141893
446,-5.192771582
447,0.378556699
448,0.229873057
449,0.469248855
450,0.835200301
451,-0.790420914
452,-1.662455913
453,4.067416949
454,0.003418706
455,-5.901850427
456,6.585842691
457,-1.823407847
458,-3.575959814
459,-0.822089637
460,9.86203588
461,-8.091862343
462,-1.822161197
463,2.312496773
464,4.415627375
465,-0.472318232
466,-2.720309747
467,1.014186419
468,0.473967425
469,-3.268916924
470,0.312069441
471,3.36411823
472,-2.09979969
473,-4.968793527
474,5.121360232
475,-0.881053703
476,0.201291447
477,-0.012845929
478,2.914783646
479,-1.93953208
480,2.078856895
481,-2.617723279
482,3.460348482
483,-3.820970062
484,4.523555978
485,-4.709201634
486,0.010677439
487,0.284866587
488,-4.315913364
489,7.062815775
490,5.837307614
491,-9.291396519
492,1.862858543
493,0.641756379
494,-2.646606694
495,-0.332973853
496,-0.134582453
497,0.980671363
498,3.54324785
499,1.719065967
500,-2.397370085
501,-0.10684042
502,2.791663843
503,-2.972007068
504,-5.339468723
505,-0.109923807
506,4.790388865
507,-1.297136354
508,1.043248995
509,0.341095871
510,-0.621491535
511,-1.794560304
512,-1.648355807
513,3.247172944
514,-1.968025998
515,-4.459222809
516,2.713825253
517,4.706358097
518,0.609808027
519,-4.236740217
520,-3.771030218
521,7.605620891
522,-5.424375206
523,6.501998157
524,-4.048495119
525,-2.875125565
526,6.957335676
527,-1.580676002
528,-10.98565721
529,4.271256675
530,9.129919756
531,-1.804223375
532,-2.918993247
533,-3.47779394
534,2.790500797
535,-3.067399477
536,3.394423326
537,7.236302005
538,-10.22671333
539,5.491300803
540,-5.145239747
541,1.468480156
542,0.738441622
543,4.279618754
544,-4.677957743
545,3.640034349
546,0.966803831
547,-3.001759648
548,-1.649213293
549,3.920402727
550,1.194283655
551,-2.63559065
552,-3.087762811
553,2.14064072
554,2.426709663
555,-4.709987042
556,0.750926129
557,0.683393242
558,-1.880536658
559,0.521629262
560,1.962022311
561,-2.121972885
562,-0.132292136
563,-2.373056124
564,2.163944821
565,-0.180243196
566,-1.236191365
567,-2.55789564
568,1.40791431
569,2.780645241
570,-1.605094222
571,-3.825905441
572,0.873702524
573,-0.597736206
574,-1.063515531
575,0.47887929
576,8.660772714
577,-5.532502526
578,-0.512616037
579,-0.604378356
580,3.320215761
581,-3.563106089
582,-3.147813216
583,2.283834227
584,7.083064136
585,-8.901100217
586,-1.187451031
587,4.728579872
588,-1.011043912
589,-1.023127029
590,-2.458540132
591,9.088119125
592,-7.749296163
593,-0.5656466
594,5.205305149
595,0.866456091
596,-0.363664533
597,-2.937550461
598,2.173163941
599,0.566472738
600,-5.919884678
601,9.266239028
602,0.1674143
603,-5.756922994
604,-2.292132131
605,-0.415454191
606,3.636623807
607,1.493434716
608,-4.94656953
609,5.29261463
610,3.331506445
611,-7.731136268
612,0.538848732
613,5.987413992
614,-1.442717247
615,-5.976183843
616,-2.366844022
617,7.923543545
618,-0.071314776
619,-0.943864586
620,-3.138348977
621,-1.998846603
622,5.53174722
623,0.359691803
624,2.322497003
625,-3.132443193
626,0.103797641
627,0.219363382
628,-0.797881389
629,3.564983508
630,-0.005248574
631,-0.003555015
632,-4.042349759
633,3.277922811
634,-2.730759984
635,6.892753773
636,-7.605772317
637,-5.386746893
638,10.73323937
639,0.450057893
640,-7.689956386
641,1.726966398
642,3.408389749
643,-0.460306372
644,1.038884999
645,-3.560290283
646,-1.141153956
647,3.411430812
648,2.625352808
