,IMF1
567,-8.329233491
568,-2.933412274
569,8.896860657
570,5.374503513
571,-14.41351201
572,6.384329646
573,-2.335756156
574,5.931011978
575,0.708488147
576,-3.169693
577,0.188682706
578,-1.631063908
579,-10.86470716
580,11.73548656
581,-2.806351196
582,-0.554208442
583,-5.430828611
584,7.161493195
585,7.157403524
586,-19.2851603
587,10.46730617
588,3.985533235
589,-5.841822788
590,3.162043882
591,-4.309252955
592,-2.200833432
593,6.20202923
594,3.156649961
595,-12.01992435
596,-2.516721306
597,5.080031739
598,4.956520796
599,-6.849503772
600,5.115501207
601,3.523819203
602,-6.382549956
603,-5.123356455
604,1.938169669
605,5.076881415
606,-4.327783045
607,1.252920479
608,1.552110616
609,1.202448715
610,-5.019306427
611,1.020711684
612,13.15776561
613,-10.28993492
614,-8.967830575
615,6.395705654
616,1.782286003
617,-0.542657294
618,1.726624106
619,-7.558854777
620,29.05674824
621,-24.16303893
622,-4.955848135
623,10.14212857
624,2.029217307
625,-1.121695972
626,4.290171138
627,-13.38142963
628,7.093158717
629,14.50565569
630,-5.257283293
631,-17.69567385
632,-9.894191661
633,30.85488022
634,-7.396617626
635,-4.388862893
636,-7.612448556
637,12.01270609
638,-2.436407644
639,5.979275773
640,-20.99586109
641,14.29289933
642,-2.273631915
643,6.167682123
644,-0.531766747
645,-8.91510421
646,1.067509388
647,0.511700013
648,1.091551839
649,4.382713102
650,-3.876347056
651,3.547821061
652,4.775253325
653,-4.930755689
654,-10.02414621
655,12.19604937
656,-1.141229776
657,1.00924782
658,-29.96392891
659,53.29780227
660,-35.4218105
661,0.486411864
662,-4.275018863
663,6.022328655
664,-4.522327336
665,1.538378219
666,-0.068967718
667,3.059442833
668,-0.91698988
669,1.943771072
670,-7.466144237
671,2.462381598
672,8.359333461
673,-4.903339139
674,-16.62233228
675,16.4023779
676,-0.276606697
677,-2.826858657
678,2.179428268
679,-2.047679639
680,3.652916951
681,6.096031289
682,-18.02805915
683,6.775452167
684,0.652629579
685,7.58594953
686,0.320322279
687,-11.11471245
688,-1.925081211
689,6.625301619
690,3.449167901
691,-5.93757158
692,-2.486828528
693,3.312514355
694,1.901729568
695,2.29482244
696,-1.849314137
697,-8.842875244
698,7.668510512
699,-0.784390317
700,9.841654908
701,-8.114373966
702,4.634841525
703,-12.91853707
704,7.669726407
705,2.205550042
706,-3.736896677
707,-1.351719339
708,0.594559252
709,-3.100076278
710,8.918494171
711,-3.086628213
712,-1.975248894
713,-5.181011863
714,9.759873978
715,3.988110223
716,-18.13791548
717,4.339826757
718,13.58142229
719,-2.573550799
720,-3.327673628
721,-2.866481763
722,3.142452755
723,4.701676217
724,-10.37426607
725,-2.894736704
726,12.81921558
727,-2.860054686
728,0.091344153
729,-11.65451593
730,11.22541892
731,1.029940369
732,-5.143629479
733,-1.557244732
734,6.77953397
735,-2.260361354
736,-2.865781545
737,-0.647135394
738,10.61105323
739,-8.366279345
740,-3.919874376
741,10.37967285
742,0.924164579
743,-13.78263042
744,6.453850856
745,3.151029096
746,-2.840374209
747,1.250292772
748,-2.567202758
749,2.053752069
750,-0.931378598
751,3.317875174
752,0.551011051
753,-10.88865522
754,5.801502804
755,7.985970524
756,-6.722807435
757,0.019451422
758,-0.08118763
759,-2.846775822
760,7.239754632
761,0.513140739
762,-5.580283462
763,-6.54909981
764,12.16661236
765,-2.177381218
766,4.630174236
767,-6.00900108
768,0.336772905
769,6.636304025
770,-0.002087982
771,-13.03391011
772,6.146348258
773,6.463294632
774,-4.393136269
775,4.867184089
776,-4.664252728
777,7.188421815
778,-8.847658317
779,-5.59932465
780,16.40988219
781,-7.702439627
782,-6.95282031
783,11.20719204
784,-17.35715311
