,VIMF1,VIMF2,VIMF3
303,-0.329549915,-0.607844633,-2.40311887
304,0.394279202,0.415720922,2.442922895
305,0.598184146,0.442331007,0.309188475
306,-0.097465163,-0.329128655,-2.47821214
307,-0.892043008,-0.437381125,1.525532006
308,-0.443488728,0.278328602,1.175191938
309,0.857059764,0.430370955,-2.257264299
310,1.113702447,-0.181926705,0.618154538
311,-0.221063659,-0.290180658,1.689075194
312,-1.493059647,0.024182421,-1.963929999
313,-0.78352441,0.106701845,-0.103956445
314,1.091655306,-0.013887676,1.898703471
315,1.526080582,0.021080708,-1.375543137
316,-0.005161789,0.214881266,-0.489116558
317,-1.53525271,-0.126127799,1.540686566
318,-1.10014419,-0.427853767,-0.896057372
319,0.829137188,0.233991514,-0.51063521
320,1.465943129,0.351228603,0.977879161
321,0.177783258,-0.212772625,-0.256768416
322,-1.18649357,-0.268809166,-0.426267031
323,-0.769281283,0.365461497,0.504442679
324,0.650900619,0.238479599,-0.203616671
325,0.935798098,-0.59371968,-0.163946275
326,-0.179686035,-0.280437133,0.370803539
327,-0.907313191,0.782538142,-0.364522987
328,-0.082287478,0.451566902,0.146706571
329,0.734090034,-1.079335452,0.23299521
330,0.312817554,-0.507742025,-0.436748662
331,-0.535992677,1.362898498,0.190875002
332,-0.559121117,0.444779335,0.226307694
333,0.420620418,-1.464114208,-0.247007347
334,0.764110463,-0.456892137,-0.110277099
335,-0.218681242,1.547585946,0.242940599
336,-0.961618215,0.483673377,0.071112513
337,-0.169873814,-1.670374675,-0.35588878
338,1.021114478,-0.509835044,0.109435632
339,0.783299384,1.899337823,0.487533837
340,-0.853638107,0.410366938,-0.669928414
341,-1.436979233,-2.132476252,-0.060088826
342,0.267632386,-0.292453383,0.978899482
343,1.694576665,2.200265331,-0.937990972
344,0.763425582,0.417840337,-0.130668135
345,-1.364826648,-2.285693313,1.185972962
346,-1.702262931,-0.589905643,-1.056121065
347,0.46946991,2.402873119,-0.304085001
348,1.980380437,0.577274489,1.340492378
349,0.654004431,-2.462539924,-0.786982857
350,-1.520368079,-0.466287095,-0.651963385
351,-1.605165912,2.391094879,1.157430402
352,0.442971176,0.310687597,-0.275739001
353,1.849743591,-2.350683013,-0.825045708
354,0.668577558,-0.247952889,0.783351249
355,-1.300528201,2.436966442,0.291889236
356,-1.46174829,0.131603908,-0.952434159
357,0.495216568,-2.323848991,0.496539017
358,1.573504523,-0.229057861,0.303412754
359,0.434781785,2.337882738,-0.498614753
360,-1.234801567,0.250971101,0.136639255
361,-0.976254348,-2.207486605,0.245901714
362,0.650306398,-0.280645137,-0.276957007
363,1.077761113,1.980263949,-0.013398986
364,-0.086011048,0.363414688,0.288016816
365,-0.824737308,-1.693712408,-0.180083321
366,-0.290757647,-0.530265808,-0.239770472
367,0.58255723,1.574495805,0.55562151
368,0.466658186,0.680785266,-0.226962475
369,-0.283196411,-1.421671606,-0.531180999
370,-0.593848504,-0.96832202,0.645163102
371,-0.177933626,1.150275113,0.081140346
372,0.600536334,1.449925131,-0.56066986
373,0.681617231,-0.861005739,0.214926367
374,-0.164896713,-1.833883986,0.442051151
375,-0.779714159,0.685266124,-0.341225453
376,-0.529359701,2.021315883,-0.538866364
377,0.487877978,-0.390521566,0.874888198
378,0.865883775,-2.38870935,-0.029148496
379,0.064071269,0.110347862,-1.033284007
380,-0.763753429,2.838057823,0.931885852
381,-0.696930175,0.010668556,0.246283176
382,0.151390046,-3.329271929,-1.213771998
383,1.126443199,0.089122604,1.029272178
384,0.609249645,3.568943395,0.0495372
385,-0.959460224,-0.076747386,-1.049830923
386,-1.189378871,-3.629739811,1.28678046
387,0.287317764,-0.086745919,-0.461687675
388,1.49217561,3.775995703,-1.015204085
389,0.533667686,0.167903596,1.75142671
390,-1.309277771,-3.890253846,-0.595615556
391,-1.256124555,-0.201120268,-1.567567664
392,0.604916191,3.870730848,2.125112687
393,1.427836263,0.075063509,-0.175155771
394,0.29515825,-3.680036007,-2.084310639
395,-1.107436749,-0.000955777,1.903841585
396,-0.999538588,3.434245648,0.573763017
397,0.522122089,0.081150718,-2.297864129
398,1.234247321,-3.31248194,1.094960885
399,0.113044957,-0.2208137,1.402377211
400,-1.179183382,3.150258278,-2.068943181
401,-0.685666255,0.384625723,0.186922508
402,0.841130565,-2.978064299,1.845275276
403,1.249618819,-0.391212185,-1.419067891
404,-0.287031174,2.670495997,-0.919712057
405,-1.509104138,0.443066145,2.097150853
406,-0.516097855,-2.409972313,-0.542422846
407,1.339929258,-0.490988251,-1.776533792
408,1.285034972,2.152650597,1.840421586
409,-0.65579545,0.5991595,0.567156322
410,-1.760496531,-1.959440737,-2.416597729
411,-0.344720622,-0.701408442,1.173592033
412,1.623035591,1.711912779,1.686937032
413,1.209918972,0.705491759,-2.560178644
414,-0.920432671,-1.360521909,0.269423329
415,-1.657155709,-0.677459704,2.475506967
416,-0.004187959,1.013883438,-2.232355665
417,1.728160772,0.772354302,-0.715217392
418,0.920680017,-0.740202299,2.754213443
419,-1.288606923,-0.835038334,-1.412593774
420,-1.588816091,0.511238484,-1.583013039
421,0.496880452,0.869128196,2.542432141
422,1.639717331,-0.498469737,-0.580298356
423,0.426394441,-0.693330055,-1.682659977
424,-1.220680368,0.45870784,1.771151809
425,-0.982022304,0.554049718,0.01400195
426,0.582978317,-0.400356431,-1.435741461
427,1.043391901,-0.506611179,1.056649513
428,-0.020102937,0.36540082,0.311437786
429,-0.826499914,0.426489019,-1.074373683
430,-0.404765036,-0.440700296,0.559648796
431,0.420556619,-0.32468212,0.407691695
432,0.537869675,0.53995658,-0.741588055
