,0,0,0,0,0,0,0,0,0,0,0,0,pre_sum,Original_true
13,1.0937623,13.765472,-9.430845,-6.521938,-122.15602,60.142185,127.51251,70.64573,3198.8691,-0.7796458,-4.694889,-1.3095479,3327.136,3326.4601063037444
14,8.57639,23.372393,-5.1372285,-4.2894506,-121.54529,59.008427,129.22519,71.92567,3198.7896,-1.2202362,1.4428163,1.558205,3361.7065,3380.8200854005017
15,17.544025,26.015509,-1.4800197,-1.7662083,-120.76891,57.841156,130.9218,73.2034,3198.7097,0.91540974,3.8380065,0.16074255,3385.1345,3387.619927483211
16,8.585637,19.517305,1.0886996,1.142543,-119.831696,56.641167,132.6024,74.4788,3198.6301,1.8446732,-0.99830264,-1.4648409,3372.2366,3365.8400946904153
17,-10.152422,5.8418655,2.269916,4.1008797,-118.73767,55.409412,134.26685,75.75193,3198.5503,-0.5674588,-2.9857197,1.8420438,3345.5898,3350.2798917213527
18,-14.319984,-9.141265,2.4126534,6.9729757,-117.49013,54.14664,135.91508,77.02268,3198.4705,-2.2668788,0.9725346,-0.15433358,3332.5405,3327.2298852663803
19,-6.4472747,-18.493351,2.0185835,9.786271,-116.09189,52.853844,137.54704,78.29098,3198.3904,0.0852012,2.407913,-1.1680241,3339.1797,3346.97014917263
20,4.0790896,-21.111345,1.4914578,12.681536,-114.54526,51.531773,139.1627,79.55701,3198.3105,3.0458221,-0.4904821,1.809703,3355.5227,3347.700019355548
21,1.2141193,-18.098213,1.3557665,15.343238,-112.852196,50.181377,140.76201,80.82059,3198.2305,1.6703792,-1.1618799,-0.31455308,3357.1511,3358.8898272072306
22,-5.704356,-11.458109,2.0109646,17.633823,-111.01434,48.803555,142.34488,82.08179,3198.1501,-2.7368867,0.3533685,-1.0699198,3359.395,3367.330150379307
23,0.5560625,-3.558933,3.5268643,19.660362,-109.03312,47.399197,143.91135,83.34047,3198.07,-3.072407,0.57066166,1.758732,3383.1292,3380.15007838716
24,11.77886,1.7026519,6.0590353,21.342583,-106.90967,45.969307,145.4612,84.59665,3197.9897,1.7044812,0.063616514,-0.27263892,3409.4858,3431.650056183554
25,16.587471,2.3021905,9.654394,22.610332,-104.64503,44.51468,146.99469,85.85033,3197.9094,4.472146,0.48981318,-1.191388,3425.549,3413.929790512259
26,0.087873764,-1.0724795,13.855399,23.405924,-102.24008,43.036316,148.5115,87.101494,3197.829,0.6437821,0.15092447,2.220198,3413.53,3423.4898619460364
27,-19.014261,-5.1209297,18.433727,23.684362,-99.69564,41.53511,150.01172,88.35015,3197.7485,-4.688552,-1.2439996,-1.0430188,3388.9575,3371.4499644086504
28,-17.955338,-6.3988256,22.926699,23.412827,-97.01259,40.011963,151.4953,89.596245,3197.668,-2.8018186,0.16405313,-1.1342335,3399.9722,3408.309943599094
29,3.9263742,-3.3086355,26.852465,22.573004,-94.1921,38.46777,152.96228,90.83971,3197.5874,3.288888,1.753178,3.0211384,3443.7715,3456.7400152633395
30,16.750065,3.0900278,29.48968,21.16349,-91.23582,36.903454,154.41258,92.08055,3197.5068,4.7944546,0.3152505,-1.5209901,3463.7495,3457.6398814983254
31,8.358182,9.998658,30.452082,19.199554,-88.14591,35.319912,155.84612,93.3187,3197.426,-0.662332,-1.6302912,-1.1228343,3458.358,3465.7298516330707
32,-2.8290274,14.445266,29.512287,16.713026,-84.925,33.718044,157.26299,94.55428,3197.3455,-4.932147,-0.12035088,2.5842264,3453.329,3452.16009905244
33,-7.5940666,14.569155,26.623856,13.623631,-81.57625,32.098743,158.66307,95.78707,3197.2644,-1.5845543,1.8345057,-0.9230152,3448.7866,3448.3998477788246
34,0.5113791,10.208327,22.052135,9.806339,-78.103485,30.462914,160.04646,97.01722,3197.1836,3.5918133,0.013381565,-1.0724697,3451.7175,3449.5802266866353
35,5.804075,2.3373206,16.274927,5.748229,-74.51096,28.811422,161.41307,98.24463,3197.1028,3.4868064,-1.5000963,1.8143058,3445.0266,3428.6599676108412
36,3.8261688,-7.2472534,9.028336,0.8656249,-70.8034,27.14517,162.76286,99.46917,3197.0215,-1.3876023,0.47999582,0.10897875,3421.2693,3422.540109736403
