,VIMF1,VIMF2,VIMF3
58,0.580259451,-3.874234467,-0.751762995
59,1.854758225,1.946002386,2.769806632
60,0.647003361,3.696561722,-2.278545893
61,-1.135605893,-1.887312494,0.070294246
62,-1.529593265,-3.796973992,1.893991164
63,0.045759837,2.07909852,-2.12443064
64,1.248422786,3.559142558,0.359025057
65,0.918307241,-2.07044368,2.02382029
66,-0.325210522,-3.374529869,-2.695868074
67,-0.784381094,2.378032323,0.878116424
68,-0.4111358,3.114772524,1.920377296
69,-0.081883428,-2.804897888,-3.135133342
70,0.676854393,-2.487592687,1.622978837
71,0.388457173,2.404997933,0.857179003
72,-0.22485007,2.37548669,-2.019004171
73,-0.466567256,-2.165651868,1.404502273
74,-0.051824539,-2.06526419,0.153535699
75,0.563917184,2.143387057,-1.317760947
76,0.020639192,1.294493942,1.019908687
77,-0.857352796,-2.137742007,0.229315625
78,-0.214798017,-0.385799605,-0.973572989
79,0.864180066,1.870738765,0.336171184
80,1.059324925,-0.013542612,1.126517696
81,-0.319732725,-1.795891202,-1.513726207
82,-1.667880972,0.372937877,-0.153865111
83,-0.922519099,1.698587809,2.072791335
84,1.129109691,-0.992882551,-1.916423767
85,1.984687853,-1.531452078,-0.466909932
86,0.520011928,1.840370844,2.820209339
87,-2.064595057,1.154314405,-2.601421329
88,-2.182122121,-2.432003844,-0.255543252
89,0.851882156,-0.859012931,3.139799169
90,2.798570616,2.689591925,-3.354844287
91,1.257854929,1.011879737,0.553350609
92,-2.267166132,-3.297680859,2.825497121
93,-2.709875237,-0.765951758,-3.385567402
94,0.509073384,3.655995765,0.272473507
95,2.823267443,0.343331004,3.173724904
96,1.421086978,-3.824502974,-2.988188333
97,-1.567556691,0.132368872,-0.551703828
98,-2.274071818,4.104644384,3.454959883
99,-0.223161592,-0.671552828,-2.553381305
100,1.710970044,-4.504365557,-1.18170819
101,1.434965397,1.208371893,3.643152395
102,-0.449834799,4.834790946,-2.184615694
103,-1.359338424,-1.471339453,-1.441581856
104,-0.710095892,-5.358394335,3.273739877
105,0.535915645,1.839121931,-1.468287754
106,0.83181822,5.675708709,-1.974864357
107,0.401041082,-2.023956482,3.331604276
108,-0.226014942,-6.137224309,-1.139277812
109,-0.532459529,2.361954861,-2.122837262
110,-0.424246888,6.679765725,3.037433364
111,-0.139119475,-2.828863467,-0.921806465
112,0.610156827,-7.09346227,-1.807649358
113,0.733674333,2.903484086,2.225913488
114,-0.151013891,7.642602957,-0.258491589
115,-1.020655673,-2.863051184,-1.485823742
116,-0.121134403,-7.728619235,1.621665744
117,0.917397712,2.375278694,-0.871452224
118,0.220035483,7.664561392,-0.247470517
119,-0.959476191,-1.782827019,1.608729657
120,-0.341208398,-7.43099688,-2.105357011
121,1.283984491,1.268195229,0.598958395
122,0.845794402,6.977700694,2.018753908
123,-1.549299867,-0.833673291,-3.099335732
124,-1.466350405,-5.959002192,1.325850002
125,0.907453014,-0.220382812,1.517561235
126,2.075836755,5.032677421,-2.794513561
127,0.395568374,1.456043798,1.747422536
128,-1.969524194,-4.085082889,0.622803786
129,-1.659262512,-2.541068477,-2.50396226
130,0.990763948,2.973210166,2.333768799
131,2.221238608,3.37396244,-0.158630847
132,0.188037729,-1.885382771,-2.481199542
133,-1.825949299,-3.749417172,3.512573358
134,-1.02098699,0.708251546,-1.355553905
135,1.203667232,4.084932548,-2.81013379
136,1.179995328,0.204994898,4.743868758
137,-0.821132775,-4.289199292,-1.633973838
138,-1.019312731,-0.828669015,-3.718116936
139,0.625873475,4.079520408,5.209565778
140,0.893792684,1.304756511,-0.826212416
141,-0.386324049,-3.368507276,-4.411631319
142,-0.912820245,-1.771107426,4.595398068
143,0.26944316,2.582581036,0.325256688
144,0.920871472,1.916875858,-4.963124882
145,-0.35459378,-1.908396942,4.022785298
146,-1.301810366,-1.858938114,1.68585156
147,0.457286787,1.597287578,-5.419720966
148,1.977422408,1.432261485,2.490575487
149,0.369687718,-1.110811081,3.81066863
150,-2.617740705,-1.14988833,-5.892637578
151,-1.979240812,0.839945281,0.98780478
152,2.336888521,0.905441255,5.459046137
153,3.71895698,-0.926642029,-6.089220561
154,-0.779882773,-0.681061205,-0.307049462
155,-4.866779477,1.187301779,7.008024241
156,-1.642266839,0.760695479,-5.99466323
157,4.558966983,-1.785089703,-2.55151656
158,4.29133675,-0.992201666,8.956389346
159,-2.796723782,2.330938425,-5.113263133
160,-5.896731125,1.797787182,-4.957748212
161,-0.505313675,-3.400032702,9.223495726
162,5.954539211,-2.485467063,-2.285997117
163,4.142050227,4.48542021,-7.619710391
164,-3.817399579,3.255624895,8.42827869
165,-6.841530287,-5.596036411,1.038704507
166,-0.014569902,-3.969657144,-9.391203208
167,7.106099553,6.31352452,6.135020531
168,4.209011628,4.776624318,4.995797229
169,-4.729749795,-6.776626725,-10.14410059
170,-6.904160044,-5.433927115,2.81112654
171,0.803828813,7.071023871,8.03206747
172,6.253533681,5.036159324,-9.961126114
173,3.316770982,-6.172475632,1.373355624
174,-3.996620582,-5.575848,7.525585815
175,-5.332940673,5.737615989,-7.23041277
176,0.698697063,6.044586673,-0.554804616
177,5.441023109,-5.147553721,6.519472132
178,2.607285242,-6.308431772,-4.592713461
179,-3.893023402,4.191737371,-2.112636582
180,-4.884410082,6.599545446,5.622666131
181,1.058595691,-3.19677226,-2.474853627
182,5.319504271,-7.006987242,-3.083029199
183,2.165301897,2.41064066,4.684096684
184,-4.038777089,7.153132464,-1.086076994
185,-4.376768569,-1.383279011,-3.021780412
186,1.33797245,-7.429613952,3.028737006
187,5.154721063,0.539317966,0.424881575
188,1.655075238,7.502864647,-2.838652419
189,-4.143593951,0.368168019,1.541867447
190,-4.03100978,-7.502053713,1.386246313
191,1.684623801,-1.385498247,-2.249135737
192,4.972278882,7.47368951,0.279076348
193,1.24921054,2.358341924,1.718066875
194,-4.314126133,-7.487171897,-1.336195417
195,-3.743896982,-3.217458986,-0.529516031
196,2.465185394,7.658568445,1.519145113
197,4.980102626,3.685405614,-0.922158937
198,0.127127494,-7.629803114,-0.171302422
199,-4.616545066,-3.821957526,1.038073917
200,-2.451907936,7.462554836,-1.371046912
201,2.952546124,3.719814329,0.528300373
202,3.7124631,-7.251639547,1.300995618
203,-0.544185192,-3.271021288,-2.095161211
204,-3.751303316,6.759901996,0.209401259
205,-1.894592381,2.564357013,2.415450892
206,2.504756179,-6.053926373,-2.174841842
207,3.534691334,-1.759560321,-1.096526299
